collection_slug,collection_name_pt_br,collection_name_en,collection_name_es,section_code,section_type,section_name_pt_br,section_name_en,section_name_es,sticker_code,sticker_type,sticker_name_pt_br,sticker_name_en,sticker_name_es,album_order,section_order,player_name,country_iso2,wikidata_id
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 3,PLAYER,Seung-Gyu Kim,Seung-Gyu Kim,Seung-Gyu Kim,52,3,Seung-Gyu Kim,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 4,PLAYER,Min-jae Kim,Min-jae Kim,Min-jae Kim,53,4,Min-jae Kim,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 5,PLAYER,Yu-min Cho,Yu-min Cho,Yu-min Cho,54,5,Yu-min Cho,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 6,PLAYER,Young-woo Seol,Young-woo Seol,Young-woo Seol,55,6,Young-woo Seol,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 7,PLAYER,Han-beom Lee,Han-beom Lee,Han-beom Lee,56,7,Han-beom Lee,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 8,PLAYER,Tae-seok Lee,Tae-seok Lee,Tae-seok Lee,57,8,Tae-seok Lee,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 9,PLAYER,Myung-jae Lee,Myung-jae Lee,Myung-jae Lee,58,9,Myung-jae Lee,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 10,PLAYER,Jae-sung Lee,Jae-sung Lee,Jae-sung Lee,59,10,Jae-sung Lee,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 11,PLAYER,In-beom Hwang,In-beom Hwang,In-beom Hwang,60,11,In-beom Hwang,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 12,PLAYER,Kang-in Lee,Kang-in Lee,Kang-in Lee,61,12,Kang-in Lee,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 13,TEAM,Team Photo,Team Photo,Team Photo,62,13,,,
